Date,Class,7th and Park Campus,7th underpass,7th underpass Pedestrians,7th underpass Cyclists,Bline Convention Cntr,Pedestrians,Cyclists,Jordan and 7th,N College and RR,S Walnut and Wylie
"Wed, Feb 1, 2017",1,186,221,155,66,688,490,198,150,14,17
"Thu, Feb 2, 2017",1,194,166,98,68,676,450,226,138,10,12
"Fri, Feb 3, 2017",1,147,200,142,58,603,399,204,126,11,12
"Sat, Feb 4, 2017",0,58,106,39,67,747,491,256,49,17,9
"Sun, Feb 5, 2017",0,73,94,43,51,905,681,224,82,17,12
"Mon, Feb 6, 2017",1,191,211,140,71,782,524,258,158,10,13
"Tue, Feb 7, 2017",1,171,172,109,63,714,515,199,112,5,12
"Wed, Feb 8, 2017",1,194,133,79,54,613,422,191,141,6,14
"Thu, Feb 9, 2017",1,167,132,81,51,534,351,183,122,6,15
"Fri, Feb 10, 2017",1,166,185,98,87,974,702,272,138,15,11
"Sat, Feb 11, 2017",0,109,152,87,65,1543,1030,513,83,18,11
"Sun, Feb 12, 2017",0,88,131,67,64,1178,863,315,72,15,8
"Mon, Feb 13, 2017",1,239,158,75,83,991,692,299,186,16,19
"Tue, Feb 14, 2017",1,268,180,96,84,1029,641,388,182,11,13
"Wed, Feb 15, 2017",1,237,172,94,78,851,558,293,191,15,13
"Thu, Feb 16, 2017",1,243,314,216,98,850,592,258,174,13,8
"Fri, Feb 17, 2017",1,275,262,147,115,1601,1042,559,173,27,14
"Sat, Feb 18, 2017",0,148,160,72,88,1744,1144,600,83,24,10
"Sun, Feb 19, 2017",0,113,213,81,132,1854,1234,620,123,24,5
"Mon, Feb 20, 2017",1,297,245,117,128,1716,1084,632,246,30,17
"Tue, Feb 21, 2017",1,293,219,110,109,956,638,318,188,17,9
"Wed, Feb 22, 2017",1,334,221,99,122,1419,893,526,281,23,12
"Thu, Feb 23, 2017",1,348,228,98,130,1477,897,580,253,32,12
"Fri, Feb 24, 2017",1,247,169,84,85,1109,635,474,174,25,13
"Sat, Feb 25, 2017",0,60,56,33,23,524,358,166,42,10,4
"Sun, Feb 26, 2017",0,83,92,45,47,810,596,214,72,19,8
"Mon, Feb 27, 2017",1,253,185,96,89,951,593,358,204,16,8
"Tue, Feb 28, 2017",1,186,134,86,48,697,464,233,134,9,16
"Wed, Mar 1, 2017",1,215,132,58,74,653,463,190,165,13,5
"Thu, Mar 2, 2017",1,253,186,96,90,1025,709,316,176,16,10
"Fri, Mar 3, 2017",1,179,154,80,74,730,488,242,131,16,16
"Sat, Mar 4, 2017",0,106,165,71,94,1113,771,342,79,23,13
"Sun, Mar 5, 2017",0,157,169,71,98,1627,1039,588,112,26,15
"Mon, Mar 6, 2017",1,116,91,65,26,443,319,124,87,7,13
"Tue, Mar 7, 2017",1,238,140,86,54,940,642,298,150,13,11
"Wed, Mar 8, 2017",1,308,230,104,126,1248,787,461,213,25,13
"Thu, Mar 9, 2017",1,308,226,99,127,1340,831,509,216,23,12
"Fri, Mar 10, 2017",1,137,148,71,77,794,470,324,114,17,17
"Sat, Mar 11, 2017",0,35,63,34,29,582,424,158,24,9,7
"Sun, Mar 12, 2017",0,38,67,32,35,596,459,137,25,14,5
"Mon, Mar 13, 2017",0,42,74,24,50,382,250,132,21,2,4
"Tue, Mar 14, 2017",0,44,59,30,29,473,332,141,32,4,8
"Wed, Mar 15, 2017",0,47,67,35,32,545,374,171,43,6,8
"Thu, Mar 16, 2017",0,59,78,46,32,687,452,235,34,7,10
"Fri, Mar 17, 2017",0,44,82,47,35,501,341,160,31,7,9
"Sat, Mar 18, 2017",0,36,69,41,28,645,429,216,23,21,8
"Sun, Mar 19, 2017",0,62,115,52,63,1211,835,376,42,28,11
"Mon, Mar 20, 2017",1,211,175,93,82,984,671,313,186,12,20
"Tue, Mar 21, 2017",1,302,220,111,109,1289,827,462,245,35,16
"Wed, Mar 22, 2017",1,248,173,86,87,925,628,297,214,23,11
"Thu, Mar 23, 2017",1,276,199,101,98,1043,705,338,223,17,12
"Fri, Mar 24, 2017",1,320,216,92,124,1686,1086,600,204,24,11
"Sat, Mar 25, 2017",0,132,170,73,97,1398,895,503,88,23,17
"Sun, Mar 26, 2017",0,55,113,71,42,857,639,218,50,8,7
"Mon, Mar 27, 2017",1,214,198,97,101,979,672,307,162,11,12
"Tue, Mar 28, 2017",1,279,256,124,132,1226,833,393,217,27,18
"Wed, Mar 29, 2017",1,294,241,87,154,1425,946,479,258,28,23
"Thu, Mar 30, 2017",1,241,191,89,102,902,609,293,156,16,16
"Fri, Mar 31, 2017",1,233,162,73,89,788,518,270,137,15,9
"Sat, Apr 1, 2017",0,102,121,50,71,1291,907,384,99,32,10
"Sun, Apr 2, 2017",0,142,193,88,105,1622,1072,550,87,27,24
"Mon, Apr 3, 2017",1,258,198,120,78,983,668,315,196,22,10
"Tue, Apr 4, 2017",1,292,212,90,122,1399,919,480,220,40,22
"Wed, Apr 5, 2017",1,220,168,93,75,930,661,269,183,15,15
"Thu, Apr 6, 2017",1,200,125,79,46,593,397,196,138,12,5
"Fri, Apr 7, 2017",1,230,207,101,106,1213,807,406,153,29,15
"Sat, Apr 8, 2017",0,213,170,75,95,1996,1276,720,110,32,17
"Sun, Apr 9, 2017",0,172,171,68,103,1999,1260,739,131,22,12
"Mon, Apr 10, 2017",1,379,283,119,164,1519,935,584,230,28,22
"Tue, Apr 11, 2017",1,319,245,116,129,1504,906,598,258,28,22
