Date / Time,CPU Usage %,Temperature C
4/28/17 20:33,8.1,46.7
4/28/17 20:33,5.6,46.2
4/28/17 20:33,9.5,46.2
4/28/17 20:33,7.9,46.2
4/28/17 20:33,7.9,46.2
4/28/17 20:33,9.2,46.2
4/28/17 20:34,7.2,46.2
4/28/17 20:34,13,47.2
4/28/17 20:34,9.3,47.8
4/28/17 20:34,8.5,47.8
4/28/17 20:34,9.5,48.3
4/28/17 20:34,8.5,47.8
4/28/17 20:34,13.6,48.3
4/28/17 20:34,12.3,48.3
4/28/17 20:35,14.4,48.9
4/28/17 20:35,15.2,49.9
4/28/17 20:35,27.5,52.6
4/28/17 20:35,47.7,54.8
4/28/17 20:35,37.4,56.4
4/28/17 20:35,32.8,55.8
4/28/17 20:35,55.3,60.1
4/28/17 20:35,25.9,55.3
4/28/17 20:36,54.2,59.6
4/28/17 20:36,66.8,62.3
4/28/17 20:36,59.6,62.3
4/28/17 20:36,54.6,62.3
4/28/17 20:36,46.4,61.8
4/28/17 20:36,35.2,60.1
4/28/17 20:36,32.6,59.6
4/28/17 20:37,38.1,59.1
4/28/17 20:37,39.3,60.1
4/28/17 20:37,30.7,59.1
4/28/17 20:37,28.7,58.5
4/28/17 20:37,30.8,59.1
4/28/17 20:37,27.4,59.1
4/28/17 20:37,32.1,59.1
4/28/17 20:37,32.7,59.1
4/28/17 20:38,46.7,60.7
4/28/17 20:38,29.9,60.1
4/28/17 20:38,29.4,59.6
4/28/17 20:38,31.2,59.6
4/28/17 20:38,28.7,59.6
4/28/17 20:38,33.2,59.1
4/28/17 20:38,32.9,59.6
4/28/17 20:38,32.6,59.1
4/28/17 20:39,33.6,60.1
4/28/17 20:39,34.5,60.1
4/28/17 20:39,30,59.1
4/28/17 20:39,34.9,61.2
4/28/17 20:39,27.7,60.1
4/28/17 20:39,30.2,60.1
4/28/17 20:39,28.8,60.1
4/28/17 20:39,29.4,60.1
4/28/17 20:40,30,60.7
4/28/17 20:40,30.6,59.6
4/28/17 20:40,30.6,60.1
4/28/17 20:40,31.7,60.7
4/28/17 20:40,31.3,60.1
4/28/17 20:40,30.4,60.7
4/28/17 20:40,29.9,61.2
4/28/17 20:40,35.2,61.2
4/28/17 20:41,29.7,60.7
4/28/17 20:41,29.2,60.7
4/28/17 20:41,30.6,61.8
4/28/17 20:41,28.8,60.7
4/28/17 20:41,31.6,61.2
4/28/17 20:41,29.5,61.8
4/28/17 20:41,28.5,60.7
